gene_id,log2FoldChange,pvalue,padj,Regulation
YNL005C,-2.453451,2.480581e-32,8.892152e-30,Downregulated
YNL007C,-1.00942,5.736373e-4,0.002724666,Downregulated
YNL009W,-1.001863,0.001946617,0.00757515,Downregulated
YNL020C,-1.221139,2.19591e-5,1.662345e-4,Downregulated
YNL038W,-1.103172,1.275859e-4,7.698105e-4,Downregulated
YNL042W-B,-1.032266,0.004005425,0.01379823,Downregulated
YNL045W,-1.900604,2.44896e-19,3.3929930000000004e-17,Downregulated
YNL054W-B,-1.254041,0.006191569,0.01975467,Downregulated
YNL066W,-1.483963,1.545195e-5,1.225276e-4,Downregulated
YNL085W,-1.052586,7.469798e-7,9.067919e-6,Downregulated
YNL101W,-2.130439,4.088292e-12,1.901836e-10,Downregulated
YNL111C,-1.807392,1.436396e-4,8.473763e-4,Downregulated
YNL122C,-1.825258,7.289292e-6,6.475357e-5,Downregulated
YNL130C,-1.144709,6.958908e-6,6.218121e-5,Downregulated
YNL142W,-1.482838,1.29612e-4,7.766522e-4,Downregulated
YNL158W,-1.086787,0.001566478,0.00631357,Downregulated
YNL159C,-1.102786,4.695507e-5,3.273961e-4,Downregulated
YNL184C,-1.511803,2.092345e-4,0.001152871,Downregulated
YNL190W,-1.009058,0.01240025,0.0350172,Downregulated
YNL193W,-6.810369,2.3327599999999995e-93,4.738612e-90,Downregulated
YNL214W,-1.31256,3.938462e-5,2.797318e-4,Downregulated
YNL220W,-1.302718,4.049898e-6,3.880516e-5,Downregulated
YNL222W,-2.300846,5.783615e-14,3.831016e-12,Downregulated
YNL234W,-1.003006,1.46658e-4,8.609901e-4,Downregulated
YNL238W,-1.435045,5.943476e-9,1.270861e-7,Downregulated
YNL259C,-2.074894,3.45729e-6,3.409179e-5,Downregulated
YNL277W,-2.02949,5.243644e-8,9.001343e-7,Downregulated
YNL280C,-1.708799,1.273494e-12,6.521575e-11,Downregulated
YNL284C-B,-2.891407,5.396487e-10,1.488063e-8,Downregulated
YNL286W,-1.020699,1.03287e-4,6.502389e-4,Downregulated
YNL301C,-1.432195,7.6885e-7,9.277964e-6,Downregulated
YNL311C,-1.212968,1.115121e-5,9.245646e-5,Downregulated
